,tyndp_status,length,commissioning_year,underground,v_nom,tags,bus0,bus1,geometry
TYNDP2020_28,in_permitting,160.0,2026,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/124"", ""tyndp2020_proj_id""=>""124"", ""tyndp2020_invest_id""=>""733"", ""tyndp_status""=>""in_permitting""",6348,6350,"LINESTRING (16.659393 57.43682, 14.749146 56.326437)"
TYNDP2020_29,in_permitting,178.0,2024,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/127"", ""tyndp2020_proj_id""=>""127"", ""tyndp2020_invest_id""=>""86"", ""tyndp_status""=>""in_permitting""",2290,2258,"LINESTRING (15.636292 41.359288, 14.028168 42.409263)"
TYNDP2020_30,under_construction,30.0,2021,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/127"", ""tyndp2020_proj_id""=>""127"", ""tyndp2020_invest_id""=>""96"", ""tyndp_status""=>""under_construction""",2291,1322,"LINESTRING (15.555267 41.165216, 15.3286 40.9749)"
TYNDP2020_31,under_construction,159.0,2023,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/138"", ""tyndp2020_proj_id""=>""138"", ""tyndp2020_invest_id""=>""273"", ""tyndp_status""=>""under_construction""",2058,3264,"LINESTRING (28.02475 44.323848, 26.7166 45.0762)"
TYNDP2020_32,in_permitting,140.0,2024,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/138"", ""tyndp2020_proj_id""=>""138"", ""tyndp2020_invest_id""=>""275"", ""tyndp_status""=>""in_permitting""",3266,3259,"LINESTRING (27.960205 45.447607, 26.872559 46.265341)"
TYNDP2020_33,under_construction,86.0,2021,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/138"", ""tyndp2020_proj_id""=>""138"", ""tyndp2020_invest_id""=>""800"", ""tyndp_status""=>""under_construction""",2063,2076,"LINESTRING (27.610016 43.326177, 27.358704 42.576344)"
TYNDP2020_34,in_permitting,151.0,2023,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/142"", ""tyndp2020_proj_id""=>""142"", ""tyndp2020_invest_id""=>""256"", ""tyndp_status""=>""in_permitting""",2069,7885,"LINESTRING (26.003265 42.200038, 23.083964803314 40.8967964275543)"
TYNDP2020_35,under_construction,13.0,2021,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/142"", ""tyndp2020_proj_id""=>""142"", ""tyndp2020_invest_id""=>""258"", ""tyndp_status""=>""under_construction""",2069,2073,"LINESTRING (26.003265 42.200038, 25.804138 41.964596)"
TYNDP2020_36,under_construction,150.0,2021,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/142"", ""tyndp2020_proj_id""=>""142"", ""tyndp2020_invest_id""=>""262"", ""tyndp_status""=>""under_construction""",2069,2076,"LINESTRING (26.003265 42.200038, 27.358704 42.576344)"
TYNDP2020_37,under_construction,131.0,2024,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/144"", ""tyndp2020_proj_id""=>""144"", ""tyndp2020_invest_id""=>""238"", ""tyndp_status""=>""under_construction""",3367,2163,"LINESTRING (21.88777 45.30413, 20.706482 44.86755)"
TYNDP2020_38,under_construction,116.0,2024,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/144"", ""tyndp2020_proj_id""=>""144"", ""tyndp2020_invest_id""=>""269"", ""tyndp_status""=>""under_construction""",1976,3367,"LINESTRING (22.578278 44.679395, 21.88777 45.30413)"
TYNDP2020_39,in_permitting,274.0,2025,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/144"", ""tyndp2020_proj_id""=>""144"", ""tyndp2020_invest_id""=>""270"", ""tyndp_status""=>""in_permitting""",3366,3366,"LINESTRING (21.2815 45.7426, 21.2815 45.7426)"
TYNDP2020_40,in_permitting,60.0,2025,False,330.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/170"", ""tyndp2020_proj_id""=>""170"", ""tyndp2020_invest_id""=>""1011"", ""tyndp_status""=>""in_permitting""",6290,6289,"LINESTRING (26.154327 57.918495, 25.473175 57.541628)"
TYNDP2020_41,in_permitting,243.0,2025,False,330.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/170"", ""tyndp2020_proj_id""=>""170"", ""tyndp2020_invest_id""=>""1013"", ""tyndp_status""=>""in_permitting""",6578,6290,"LINESTRING (28.063202 59.310067, 26.154327 57.918495)"
TYNDP2020_42,in_permitting,190.0,2025,False,330.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/170"", ""tyndp2020_proj_id""=>""170"", ""tyndp2020_invest_id""=>""1634"", ""tyndp_status""=>""in_permitting""",5537,5543,"LINESTRING (22.740326 55.10273, 24.252319 54.796727)"
TYNDP2020_43,planned_not_yet_permitting,57.11,2025,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/170"", ""tyndp2020_proj_id""=>""170"", ""tyndp2020_invest_id""=>""1661"", ""tyndp_status""=>""planned_not_yet_permitting""",5729,8006,"LINESTRING (16.11557 54.132674, 16.6857237480894 54.0342010066989)"
TYNDP2020_44,planned_not_yet_permitting,119.0,2025,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/170"", ""tyndp2020_proj_id""=>""170"", ""tyndp2020_invest_id""=>""1662"", ""tyndp_status""=>""planned_not_yet_permitting""",5734,8006,"LINESTRING (16.858521 53.16571, 16.6857237480894 54.0342010066989)"
TYNDP2020_45,planned_not_yet_permitting,288.5,2025,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/170"", ""tyndp2020_proj_id""=>""170"", ""tyndp2020_invest_id""=>""1664"", ""tyndp_status""=>""planned_not_yet_permitting""",5726,5589,"LINESTRING (14.831543 53.330873, 18.104095 54.714309)"
TYNDP2020_46,planned_not_yet_permitting,77.0,2024,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/170"", ""tyndp2020_proj_id""=>""170"", ""tyndp2020_invest_id""=>""1665"", ""tyndp_status""=>""planned_not_yet_permitting""",5589,5592,"LINESTRING (18.104095 54.714309, 18.684998 54.266026)"
TYNDP2020_47,in_permitting,92.0,2023,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/183"", ""tyndp2020_proj_id""=>""183"", ""tyndp2020_invest_id""=>""1018"", ""tyndp_status""=>""in_permitting""",5808,5800,"LINESTRING (8.86459400000001 55.074436, 8.66683999999999 55.481966)"
TYNDP2020_48,under_construction,60.0,2022,False,,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/186"", ""tyndp2020_proj_id""=>""186"", ""tyndp2020_invest_id""=>""886"", ""tyndp_status""=>""under_construction""",3473,8372,"LINESTRING (16.399841 48.323387, 16.820068 48.943249)"
TYNDP2020_49,in_permitting,60.0,2028,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/187"", ""tyndp2020_proj_id""=>""187"", ""tyndp2020_invest_id""=>""997"", ""tyndp_status""=>""in_permitting""",3399,3399,"LINESTRING (13.080597 48.256684, 13.080597 48.256684)"
TYNDP2020_50,under_construction,300.0,2022,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/197"", ""tyndp2020_proj_id""=>""197"", ""tyndp2020_invest_id""=>""742"", ""tyndp_status""=>""under_construction""",6921,6782,"LINESTRING (26.114502 64.778807, 25.180664 62.262171)"
TYNDP2020_51,in_permitting,83.0,2023,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/200"", ""tyndp2020_proj_id""=>""200"", ""tyndp2020_invest_id""=>""308"", ""tyndp_status""=>""in_permitting""",4599,4587,"LINESTRING (13.191833 50.341955, 12.675274 50.160683)"
TYNDP2020_52,under_construction,87.0,2021,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/200"", ""tyndp2020_proj_id""=>""200"", ""tyndp2020_invest_id""=>""309"", ""tyndp_status""=>""under_construction""",4587,4615,"LINESTRING (12.675274 50.160683, 13.282471 49.60804)"
TYNDP2020_53,under_construction,60.0,2023,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/207"", ""tyndp2020_proj_id""=>""207"", ""tyndp2020_invest_id""=>""939"", ""tyndp_status""=>""under_construction""",8117,5770,"LINESTRING (8.09143099999999 53.313647, 7.23587000000001 53.374317)"
TYNDP2020_54,under_construction,30.0,2020,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/207"", ""tyndp2020_proj_id""=>""207"", ""tyndp2020_invest_id""=>""1684"", ""tyndp_status""=>""under_construction""",8117,5780,"LINESTRING (8.09143099999999 53.313647, 8.00079299999999 53.55581)"
TYNDP2020_55,under_construction,95.0,2023,False,110.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/208"", ""tyndp2020_proj_id""=>""208"", ""tyndp2020_invest_id""=>""151"", ""tyndp_status""=>""under_construction""",4738,5868,"LINESTRING (8.283691 52.344569, 8.61877400000001 53.065976)"
TYNDP2020_56,under_construction,182.0,2023,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/208"", ""tyndp2020_proj_id""=>""208"", ""tyndp2020_invest_id""=>""156"", ""tyndp_status""=>""under_construction""",4684,5786,"LINESTRING (6.615143 51.630805, 7.38830599999999 53.076703)"
TYNDP2020_57,in_permitting,45.2,2026,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/227"", ""tyndp2020_proj_id""=>""227"", ""tyndp2020_invest_id""=>""627"", ""tyndp_status""=>""in_permitting""",2119,2122,"LINESTRING (19.500315 43.953021, 19.388123 43.723475)"
TYNDP2020_58,in_permitting,100.0,2026,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/227"", ""tyndp2020_proj_id""=>""227"", ""tyndp2020_invest_id""=>""630"", ""tyndp_status""=>""in_permitting""",2119,2124,"LINESTRING (19.500315 43.953021, 19.315338 43.347152)"
TYNDP2020_59,under_construction,151.0,2019,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/227"", ""tyndp2020_proj_id""=>""227"", ""tyndp2020_invest_id""=>""1526"", ""tyndp_status""=>""under_construction""",2147,2124,"LINESTRING (18.772888 42.315909, 19.315338 43.347152)"
TYNDP2020_60,under_construction,,2020,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/227"", ""tyndp2020_proj_id""=>""227"", ""tyndp2020_invest_id""=>""1527"", ""tyndp_status""=>""under_construction""",2175,2176,"LINESTRING (20.928955 44.056999, 20.739984 43.680615)"
TYNDP2020_61,planned_not_yet_permitting,32.0,2025,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/228"", ""tyndp2020_proj_id""=>""228"", ""tyndp2020_invest_id""=>""1231"", ""tyndp_status""=>""planned_not_yet_permitting""",3581,3565,"LINESTRING (7.50366199999999 47.891485, 7.71240200000001 48.103763)"
TYNDP2020_62,under_consideration,40.0,2035,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/229"", ""tyndp2020_proj_id""=>""229"", ""tyndp2020_invest_id""=>""1270"", ""tyndp_status""=>""under_consideration""",5727,4635,"LINESTRING (15.038505 52.76751, 15.5 51.93333)"
TYNDP2020_63,under_consideration,40.0,2035,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/229"", ""tyndp2020_proj_id""=>""229"", ""tyndp2020_invest_id""=>""1271"", ""tyndp_status""=>""under_consideration""",4635,4638,"LINESTRING (15.5 51.93333, 16.729431 52.32359)"
TYNDP2020_64,under_consideration,90.0,2035,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/229"", ""tyndp2020_proj_id""=>""229"", ""tyndp2020_invest_id""=>""1673"", ""tyndp_status""=>""under_consideration""",4635,4641,"LINESTRING (15.5 51.93333, 16.056519 51.449728)"
TYNDP2020_65,under_consideration,80.0,2035,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/229"", ""tyndp2020_proj_id""=>""229"", ""tyndp2020_invest_id""=>""1674"", ""tyndp_status""=>""under_consideration""",4635,4619,"LINESTRING (15.5 51.93333, 14.615936 52.125058)"
TYNDP2020_66,in_permitting,100.0,2024,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/230"", ""tyndp2020_proj_id""=>""230"", ""tyndp2020_invest_id""=>""355"", ""tyndp_status""=>""in_permitting""",4630,4645,"LINESTRING (15.086975 51.069017, 16.365509 50.816348)"
TYNDP2020_67,under_consideration,11.0,2030,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/231"", ""tyndp2020_proj_id""=>""231"", ""tyndp2020_invest_id""=>""1282"", ""tyndp_status""=>""under_consideration""",3603,3601,"LINESTRING (8.16970799999999 47.523693, 8.205414 47.649662)"
TYNDP2020_68,under_consideration,91.0,2033,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/241"", ""tyndp2020_proj_id""=>""241"", ""tyndp2020_invest_id""=>""1276"", ""tyndp_status""=>""under_consideration""",3318,2110,"LINESTRING (18.420959 45.289022, 18.538055 44.455349)"
TYNDP2020_69,under_consideration,46.2,2033,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/241"", ""tyndp2020_proj_id""=>""241"", ""tyndp2020_invest_id""=>""1277"", ""tyndp_status""=>""under_consideration""",3318,2106,"LINESTRING (18.420959 45.289022, 18.436344 44.904884)"
TYNDP2020_70,under_consideration,25.0,2033,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/241"", ""tyndp2020_proj_id""=>""241"", ""tyndp2020_invest_id""=>""1279"", ""tyndp_status""=>""under_consideration""",3318,3318,"LINESTRING (18.420959 45.289022, 18.420959 45.289022)"
TYNDP2020_71,under_consideration,47.8,2032,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/241"", ""tyndp2020_proj_id""=>""241"", ""tyndp2020_invest_id""=>""1530"", ""tyndp_status""=>""under_consideration""",2106,2110,"LINESTRING (18.436344 44.904884, 18.538055 44.455349)"
TYNDP2020_72,under_consideration,70.0,2035,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/243"", ""tyndp2020_proj_id""=>""243"", ""tyndp2020_invest_id""=>""1269"", ""tyndp_status""=>""under_consideration""",3319,3321,"LINESTRING (18.663025 45.454351, 19.175262 45.75411)"
TYNDP2020_73,planned_not_yet_permitting,65.0,2028,False,,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/244"", ""tyndp2020_proj_id""=>""244"", ""tyndp2020_invest_id""=>""1245"", ""tyndp_status""=>""planned_not_yet_permitting""",4823,4842,"LINESTRING (6.25122100000001 49.182601, 7.028503 49.340336)"
TYNDP2020_74,under_construction,27.0,2021,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/245"", ""tyndp2020_proj_id""=>""245"", ""tyndp2020_invest_id""=>""1246"", ""tyndp_status""=>""under_construction""",5766,5784,"LINESTRING (6.936493 53.145947, 7.389679 53.097323)"
TYNDP2020_75,in_permitting,14.0,2024,True,220.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/250"", ""tyndp2020_proj_id""=>""250"", ""tyndp2020_invest_id""=>""1384"", ""tyndp_status""=>""in_permitting""",3860,3855,"LINESTRING (9.503174 46.35925, 9.34661899999999 46.251099)"
TYNDP2020_76,planned_not_yet_permitting,90.0,2029,False,,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/252"", ""tyndp2020_proj_id""=>""252"", ""tyndp2020_invest_id""=>""1050"", ""tyndp_status""=>""planned_not_yet_permitting""",4686,5165,"LINESTRING (5.71701000000001 51.094036, 5.35583499999999 50.557942)"
TYNDP2020_77,in_permitting,90.0,2024,False,,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/252"", ""tyndp2020_proj_id""=>""252"", ""tyndp2020_invest_id""=>""1456"", ""tyndp_status""=>""in_permitting""",5099,4686,"LINESTRING (4.603271 51.209464, 5.71701000000001 51.094036)"
TYNDP2020_78,planned_not_yet_permitting,60.0,2033,False,,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/252"", ""tyndp2020_proj_id""=>""252"", ""tyndp2020_invest_id""=>""1515"", ""tyndp_status""=>""planned_not_yet_permitting""",5165,5153,"LINESTRING (5.35583499999999 50.557942, 4.35470599999999 50.529143)"
TYNDP2020_79,planned_not_yet_permitting,47.0,2035,False,,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/252"", ""tyndp2020_proj_id""=>""252"", ""tyndp2020_invest_id""=>""1516"", ""tyndp_status""=>""planned_not_yet_permitting""",5102,5153,"LINESTRING (4.22012299999999 50.864911, 4.35470599999999 50.529143)"
