,bus0,bus1,length,v_nom,num_parallel,project_status,build_year,tags,x0,y0,x1,y1,type,underground
TYNDP2024_1662,Pila Krzewina,Zydowo Kierzkowo,119.0,400.0,,under_construction,2027,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1662"""", """"tyndp2024_invest_id""""=>""""1662""""""",16.633781,54.011513,16.9002,53.079705,,False
TYNDP2024_1663,Krajnik,Morzyczyn,41.5,400.0,,completed,2023,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1663"""", """"tyndp2024_invest_id""""=>""""1663""""""",14.443863,53.165941,14.828384,53.331103,,False
TYNDP2024_1664,Morzyczyn,Zarnowiec,288.5,400.0,,under_construction,2027,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1664"""", """"tyndp2024_invest_id""""=>""""1664""""""",14.83144,53.330725,18.104576,54.71442,,False
TYNDP2024_1665,Zarnowiec,Gdansk Blonia,77.0,400.0,,under_construction,2025,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1665"""", """"tyndp2024_invest_id""""=>""""1665""""""",18.104645,54.715546,18.68692,54.265673,,False
TYNDP2024_997,Pleinting (DE),St. Peter (AT),60.0,380.0,,in_permitting,2030,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/997"""", """"tyndp2024_invest_id""""=>""""997""""""",13.081488,48.256092,13.035706,48.676523,,False
TYNDP2024_308,Vernerov (CZ),Vitkov (CZ),83.0,400.0,,under_construction,2024,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/308"""", """"tyndp2024_invest_id""""=>""""308""""""",13.259125,50.419894,12.666962,50.170038,,False
TYNDP2024_1380,SOMPLAGO,WURMLACH,51.0,220.0,,in_permitting,2029,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1380"""", """"tyndp2024_invest_id""""=>""""1380""""""",13.066649,46.342188,13.103728,46.725742,,False
TYNDP2024_627,SS Bajina Basta,SS Visegrad,45.2,400.0,,in_permitting,2027,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/627"""", """"tyndp2024_invest_id""""=>""""627""""""",19.500856,43.945323,19.389468,43.725192,,False
TYNDP2024_628,SS Bajina Basta,SS Obrenovac,109.0,400.0,,in_permitting,2026,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/628"""", """"tyndp2024_invest_id""""=>""""628""""""",19.503983,43.951436,20.18074,44.657974,,False
TYNDP2024_630,SS Bajina Basta,SS Pljevlja,98.4,400.0,,in_permitting,2027,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/630"""", """"tyndp2024_invest_id""""=>""""630""""""",19.500705,43.945995,19.316272,43.319263,,False
TYNDP2024_1526,SS Lastva,SS Pljevlja,151.0,400.0,,under_construction,2024,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1526"""", """"tyndp2024_invest_id""""=>""""1526""""""",19.325198,43.313528,18.732788,42.376361,,False
