index,year,sector,regain,maintain,deindustrial
16,2040,cement,226.1818181818182,191,155.8181818181818
17,2041,cement,228.13636363636363,191,153.86363636363637
18,2042,cement,230.0909090909091,191,151.9090909090909
19,2043,cement,232.04545454545456,191,149.95454545454544
20,2044,cement,234.0,191,148.0
21,2045,cement,235.95454545454544,191,146.04545454545456
22,2046,cement,237.9090909090909,191,144.0909090909091
23,2047,cement,239.86363636363637,191,142.13636363636363
24,2048,cement,241.8181818181818,191,140.1818181818182
25,2049,cement,243.77272727272728,191,138.22727272727272
26,2050,cement,245.72727272727272,191,136.27272727272728
0,2024,chlorine,5.899066666666666,5.717,5.534933333333333
1,2025,chlorine,6.081133333333333,5.717,5.352866666666666
2,2026,chlorine,6.263199999999999,5.717,5.1708
3,2027,chlorine,6.445266666666667,5.717,4.988733333333332
4,2028,chlorine,6.6273333333333335,5.717,4.806666666666666
5,2029,chlorine,6.8094,5.717,4.624599999999999
6,2030,chlorine,6.991466666666667,5.717,4.442533333333333
7,2031,chlorine,7.173533333333333,5.717,4.260466666666666
8,2032,chlorine,7.3556,5.717,4.078399999999999
9,2033,chlorine,7.5376666666666665,5.717,3.8963333333333328
10,2034,chlorine,7.719733333333334,5.717,3.7142666666666657
11,2035,chlorine,7.9018,5.717,3.532199999999999
12,2036,chlorine,8.083866666666667,5.717,3.3501333333333325
13,2037,chlorine,8.265933333333333,5.717,3.1680666666666655
14,2038,chlorine,8.448,5.717,2.985999999999999
15,2039,chlorine,8.630066666666668,5.717,2.8039333333333323
16,2040,chlorine,8.812133333333334,5.717,2.6218666666666657
17,2041,chlorine,8.9942,5.717,2.439799999999999
18,2042,chlorine,9.176266666666667,5.717,2.257733333333332
19,2043,chlorine,9.358333333333334,5.717,2.0756666666666654
20,2044,chlorine,9.5404,5.717,1.8935999999999988
21,2045,chlorine,9.722466666666667,5.717,1.7115333333333318
22,2046,chlorine,9.904533333333333,5.717,1.5294666666666652
23,2047,chlorine,10.0866,5.717,1.3473999999999986
24,2048,chlorine,10.268666666666668,5.717,1.165333333333332
25,2049,chlorine,10.450733333333334,5.717,0.9832666666666654
26,2050,chlorine,10.6328,5.717,0.8011999999999988
0,2024,ammonia,9.283866666666666,8.959,8.634133333333333
1,2025,ammonia,9.608733333333333,8.959,8.309266666666666
2,2026,ammonia,9.9336,8.959,7.984399999999999
3,2027,ammonia,10.258466666666667,8.959,7.659533333333332
4,2028,ammonia,10.583333333333334,8.959,7.334666666666665
5,2029,ammonia,10.9082,8.959,7.009799999999999
6,2030,ammonia,11.233066666666666,8.959,6.6849333333333325
7,2031,ammonia,11.557933333333335,8.959,6.360066666666666
8,2032,ammonia,11.8828,8.959,6.035199999999999
9,2033,ammonia,12.207666666666668,8.959,5.710333333333332
10,2034,ammonia,12.532533333333333,8.959,5.385466666666666
11,2035,ammonia,12.8574,8.959,5.060599999999999
12,2036,ammonia,13.182266666666667,8.959,4.735733333333332
13,2037,ammonia,13.507133333333334,8.959,4.410866666666665
14,2038,ammonia,13.832,8.959,4.0859999999999985
15,2039,ammonia,14.156866666666668,8.959,3.7611333333333317
16,2040,ammonia,14.481733333333334,8.959,3.436266666666665
17,2041,ammonia,14.806600000000001,8.959,3.111399999999998
18,2042,ammonia,15.131466666666668,8.959,2.786533333333331
19,2043,ammonia,15.456333333333335,8.959,2.4616666666666642
20,2044,ammonia,15.781200000000002,8.959,2.1367999999999983
21,2045,ammonia,16.106066666666667,8.959,1.8119333333333314
22,2046,ammonia,16.430933333333336,8.959,1.4870666666666645
23,2047,ammonia,16.7558,8.959,1.1621999999999977
24,2048,ammonia,17.080666666666666,8.959,0.8373333333333317
25,2049,ammonia,17.405533333333334,8.959,0.5124666666666648
26,2050,ammonia,17.730400000000003,8.959,0.187599999999998
0,2024,methanol,2.1246923076923077,2.1,2.0753076923076925
1,2025,methanol,2.132923076923077,2.1,2.067076923076923
2,2026,methanol,2.141153846153846,2.1,2.058846153846154
3,2027,methanol,2.1493846153846152,2.1,2.050615384615385
4,2028,methanol,2.1576153846153847,2.1,2.0423846153846155
5,2029,methanol,2.1658461538461538,2.1,2.0341538461538464
6,2030,methanol,2.174076923076923,2.1,2.0259230769230774
7,2031,methanol,2.1823076923076923,2.1,2.017692307692308
8,2032,methanol,2.1905384615384613,2.1,2.009461538461539
9,2033,methanol,2.198769230769231,2.1,2.0012307692307694
10,2034,methanol,2.207,2.1,1.9930000000000003
11,2035,methanol,2.215230769230769,2.1,1.984769230769231
12,2036,methanol,2.2234615384615384,2.1,1.9765384615384618
13,2037,methanol,2.2316923076923074,2.1,1.9683076923076928
14,2038,methanol,2.239923076923077,2.1,1.9600769230769235
15,2039,methanol,2.248153846153846,2.1,1.9518461538461542
