country,electricity residential space,total residential space,total residential water,electricity residential water,total residential cooking,electricity residential cooking,total residential,electricity residential,derived heat residential,thermal uses residential,total services space,electricity services space,total services water,electricity services water,total services cooking,electricity services cooking,total services,electricity services,derived heat services,thermal uses services,total agriculture electricity,total agriculture heat,total agriculture machinery,total agriculture,total road,electricity road,total two-wheel,total passenger cars,electricity passenger cars,total other road passenger,electricity other road passenger,total light duty road freight,electricity light duty road freight,total heavy duty road freight,total rail,electricity rail,total rail passenger,electricity rail passenger,total rail freight,electricity rail freight,total aviation passenger,total aviation freight,total domestic aviation passenger,total international aviation passenger,total domestic aviation freight,total international aviation freight,total domestic aviation,total international aviation,total domestic navigation,total international navigation
ES,10.794125129618664,71.26452543322868,39.68527650785515,7.710514219460869,19.26597649255715,8.828493562332296,177.196549581737,74.63098166927618,0.0,131.8776230960182,34.390226550633635,5.784912430114415,14.00729551399568,6.8886787516288885,17.98020571548081,13.01444004144452,115.94028841537886,75.5600175062191,0.0,75.67658371390513,3.798490176657542,20.504156811235546,10.361953239126692,34.664600227019776,295.6964784476745,0.008958749867787469,5.271025477457057,177.9796367179715,0.006198765274153721,10.784071123614806,0.0,20.279070030269107,0.0027599845936337485,81.38267509836203,8.270129202825443,4.551941091567911,7.174411141940354,4.18254627330064,1.095718060885089,0.36939481826726994,58.78529713592237,1.0458142160063002,18.097222294891036,40.68807484103132,0.33629527208914706,0.7095189439171532,18.433517566980182,41.39759378494848,5.86721442260112,84.04543941000001
FI,7.848535711327018,41.84350237788999,9.048520920884483,3.443099269456141,2.9395617816882234,2.8792251386947934,60.826832141117144,21.50989869058375,18.587994476407626,53.92184520851802,21.23055041955415,6.199986054777693,2.553779457989475,0.9989674641957111,2.737139467312127,2.6900543568450637,34.04765319297288,17.50312586133877,12.247279309978593,26.808838116560455,1.2798819960077403,7.441003309894633,1.9312393542030517,10.652124660105425,45.56549617623142,0.0019365717691190252,0.5223209306867633,26.118742999170177,0.0007992579455364848,3.2601013702649593,0.00016885440537935242,5.613312604425437,0.0006476900733945322,10.051018271684086,1.1047159761512422,0.7330519889163917,0.6084665070352008,0.5419802858183081,0.4962494691160414,0.19107170309808352,7.731241694301903,0.3876090573520712,1.4438906650320935,6.287351029269809,0.11591836963879651,0.2716906877132747,1.55980903467089,6.559041716983084,1.725813385303544,1.5172963200000003
FR,36.34821295388092,304.3090830974361,74.10444863335236,20.89120031251567,42.04728767502008,19.96798113754325,503.553879238341,167.90380216073933,14.323611111111111,421.0509096549809,149.2072481280514,29.02123818481345,25.328465674571646,12.10488257238001,28.51040521266642,17.00244127422052,285.9163571402345,142.24734181479553,8.505277777777804,216.87393093116245,7.478237257126606,32.74985084813704,20.230248718717654,60.4583368239813,477.2711666499798,0.17960126429470955,6.464992469847664,252.13117399671086,0.07795214668519337,21.88511370979885,0.039237383416606084,91.90030834156023,0.061631171267770395,104.88957813206223,12.134370941891715,10.168257793403882,10.262575388236112,8.653518950028449,1.8717955536556061,1.5147388433754336,71.22571967077627,3.5990187474665083,19.982431345628665,51.2432883251476,1.4447624710282905,2.154256276438218,21.427193816656956,53.397544601585814,5.826683163334846,26.200994400000006
GB,32.35436698812953,318.9482399097387,79.0068899383846,11.692921151505214,20.777464730965892,3.4829778546191315,480.6012101626519,113.45010172801696,0.603890281538269,419.06137321331204,111.80304633929093,16.901263938070077,21.670713737923748,9.433929352734362,25.136145179539948,11.42081966062867,217.22824016750891,97.6278626859339,4.641112795545814,162.61403696376797,3.2166577319321257,5.143442067057801,2.6425900548485233,11.00268985383845,430.58518629173466,0.046201812762040446,1.9853577192078395,261.8768230625204,0.017483920193319114,13.879178870387758,0.01238603617527179,62.912474806224225,0.01625588985728355,89.93135183339443,11.756950007831975,4.3188908694754105,10.388956712485863,4.00601448166063,1.3679932953461098,0.3128763878147804,130.47903983498458,6.901249527740472,9.80331472977463,120.67572510520993,0.7901245563584364,6.1111249713820355,10.593439286133068,126.78685007659197,8.07111335225377,31.552050440000002
GR,0.5656086758341576,21.217682502692107,8.293810066447499,3.7413645529326613,6.278738103001239,4.769683859069138,43.76514999884091,17.446059785604763,0.48277777777777753,37.40069475869229,5.125290380611692,2.6778373331934873,3.162988904204836,2.5497865662833865,3.05774002743643,1.940386753884961,21.204518154450987,17.03005713656159,0.0,12.844248401137325,2.309274089698663,3.4548066758354046,0.9812352669719969,6.745316032506065,57.6786974096937,7.609582935570777e-07,3.1869261083333336,29.7721921076304,0.0,5.078601781049937,0.0,7.226214055206279,0.0,12.414763357473749,0.4563904473396791,0.24500010394974975,0.413371507694714,0.23811802896220835,0.04301893964496518,0.006882074987541386,9.810799671681195,0.0797370737941638,1.3944121003233676,8.416387571357827,0.05929988423846293,0.02043718955570087,1.4537119845618307,8.436824760913527,5.0180753923393295,
HR,0.1580787880948285,18.34128786679964,4.389380056414181,1.0090057071271274,2.5476989978731437,1.318689059616855,28.847515888791193,6.237006781452905,1.6066742865068224,26.00131795404627,3.113211034470075,1.0345479474956152,0.9497163154353965,0.48100473034340274,1.0016020047136875,0.6411008353971066,8.272536625407751,5.38680865605112,0.4341687257624747,5.496189318262362,0.052814361197001926,1.8898328107958695,0.6988726986738213,2.6415198706666922,21.188430385465697,0.00018962982230924554,0.09159965703986905,13.436827525272498,0.00015599173040538647,1.8326831729199144,0.0,1.2565648624838692,3.363809190385904e-05,4.570755167749542,0.49776885579754093,0.21305012359963119,0.3313779723176993,0.15395303355572673,0.16639088347984168,0.05909709004390443,1.5213591752527897,0.005307491413879789,0.12226864940430518,1.3990905258484845,0.002843300346906715,0.002464191066973074,0.1251119497512119,1.4015547169154576,0.4627721052114323,0.04553145000000001
HU,0.34544664961757376,51.71232046242127,9.058565274870105,2.140328474053002,5.714062255524212,2.0028906881072146,72.21082944708841,10.580042271441457,6.0852699910027175,66.5433537234814,14.356335066067029,0.16475011915334667,2.671442732381201,0.01669481559397995,3.150014039363932,0.1438143642750518,27.204656665349653,7.520276095678086,1.6199979270337255,20.586618985218344,0.5989606036781462,3.545410576534174,1.7932330983579277,5.937604278570248,38.02445666587427,0.004754012401710198,0.21252554633366075,20.378331083907437,0.0013669723377535844,3.8333953670014473,0.003313731799269432,4.637708110268266,7.330826468718214e-05,8.962496558363458,1.7569522475334471,1.1969520519059795,1.2917234069105592,0.9310232589824952,0.4652288406228879,0.2659287929234843,1.8353907709400215,0.054606555289952,0.0,1.8353907709400215,0.03396721087675474,0.020639344413197255,0.03396721087675474,1.8560301153532188,0.05833335371119447,0.0
IE,1.1552139973989726,19.793109005806674,6.515397123991764,1.161434517801231,1.8421621718709775,0.8957692904350855,32.59953066332596,7.947985647128668,0.0,28.169618920079486,6.393256702138997,0.28535728735816485,1.6984446799638506,0.1477063007761994,1.856921735238021,0.6416420635559278,15.16447753566351,6.3577829109494655,0.0,10.2117126360729,0.47032508536436934,1.3904538819426195,0.862566607567254,2.723345574874243,40.68108342426441,0.008272205986726226,0.04426990840125408,24.407852018798376,0.007543433011813816,2.192367837492994,0.00016737978187553794,5.312891952707581,0.0005613931930368736,8.723701706864198,0.5233030297833083,0.04194485894551323,0.5099352244962404,0.04194485894551323,0.013367805287068027,0.0,7.3776188484574154,0.18094217829083742,0.018085728645439496,7.359533119811976,0.06395847585112205,0.11698370243971537,0.08204420449656154,7.476516822251692,0.2341743960240419,1.6970496000000002
IT,1.0468206851697905,244.9130987767243,64.70816273756871,3.5257726860039496,33.711739880385224,5.298056156106979,398.1019762913365,66.98298367503608,10.821944449588157,350.87847290630515,79.03400365830159,10.16304834908569,19.572715587485437,6.461518895607246,23.010958076787716,7.348694836331663,185.82190964755122,88.9193830223242,2.2208333343889035,131.777336675836,4.840172338839531,14.844562085255594,12.704831814002475,32.38956623809759,382.16562754905397,0.12857527719351874,13.026200965629071,228.24478422974195,0.04308195860999806,25.177330023583888,0.06296249137904908,56.86449956932279,0.0016822306906727807,58.8528127607762,10.728613644333404,10.27889174413704,9.369662030497414,8.968468758742143,1.3589516138359898,1.3104229853948974,41.63152311753265,1.21375688128503,11.652418521864087,29.97910459566857,0.22427118935269547,0.9894856919323345,11.876689711216782,30.968590287600907,11.450287803031888,25.3443286
LT,0.054268380164312624,11.715350602163216,2.5431037955938787,0.11347525483697869,1.2898906463385191,0.729637351593262,17.15320056639655,2.5910416440334036,5.404240349484153,15.549737784710798,3.6858966350176123,0.35403649213535254,0.646954859642566,0.2813772376756209,0.6491284395948164,0.5147296157717044,6.910102062603848,3.0984102546581362,1.9902252700580714,5.0040026932093715,0.14678373132394648,0.8607001311237008,0.3067145284231102,1.3141983908707575,16.47794344391527,0.07138098387942092,0.04742286954576074,11.759333998588998,2.367015705875897e-05,0.5515959910278992,0.06929945666578705,0.6262110477409603,0.0,3.49337953701165,0.6408426868412563,0.010000099960345853,0.11889710881126903,0.010000099960345853,0.5219455780299873,0.0,0.8025997207548139,0.012700327855460105,0.0,0.8025997207548139,0.007917059144158009,0.0047832687113020965,0.007917059144158009,0.807382989466116,0.05972313763724503,1.0061694500000002
