,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID,Status
129,Nogent,Nuclear,Steam Turbine,PP,France,0.0,,2045.0,,,48.5171,3.5181,,,,,,G100000500065,operating
130,Nogent,Nuclear,Steam Turbine,PP,France,0.0,,2045.0,,,48.5171,3.5181,,,,,,G100000500064,operating
131,Nowa Huta,Nuclear,Steam Turbine,PP,Poland,0.0,,2045.0,,,50.0656753,20.0365823,,,,,,G100001009053,announced
132,Nowa Huta,Nuclear,Steam Turbine,PP,Poland,0.0,,2045.0,,,50.0656753,20.0365823,,,,,,G100001009051,announced
133,Nowa Huta,Nuclear,Steam Turbine,PP,Poland,0.0,,2045.0,,,50.0656753,20.0365823,,,,,,G100001009052,announced
134,Nowa Huta,Nuclear,Steam Turbine,PP,Poland,0.0,,2045.0,,,50.0656753,20.0365823,,,,,,G100001009050,announced
135,Olkiluoto,Nuclear,Steam Turbine,PP,Finland,0.0,,2045.0,,,61.2371,21.4433,,,,,,G100000500356,operating
136,Olkiluoto,Nuclear,Steam Turbine,PP,Finland,0.0,,2045.0,,,61.2371,21.4433,,,,,,G100000500355,operating
137,Olkiluoto,Nuclear,Steam Turbine,PP,Finland,1720.0,,2022.0,,,61.2356,21.4372,,,,,,G100000500006,operating
138,Oskarshamn,Nuclear,Steam Turbine,PP,Sweden,0.0,,2045.0,,,57.4166,16.67301,,,,,,G100000500041,operating
139,Ostroleka,Nuclear,Steam Turbine,PP,Poland,0.0,,2045.0,,,53.0674009,21.5610332,,,,,,G100001009064,announced
140,Ostroleka,Nuclear,Steam Turbine,PP,Poland,0.0,,2045.0,,,53.0674009,21.5610332,,,,,,G100001009062,announced
141,Ostroleka,Nuclear,Steam Turbine,PP,Poland,0.0,,2045.0,,,53.0674009,21.5610332,,,,,,G100001009063,announced
142,Ostroleka,Nuclear,Steam Turbine,PP,Poland,0.0,,2045.0,,,53.0674009,21.5610332,,,,,,G100001009065,announced
143,Paks,Nuclear,Steam Turbine,PP,Hungary,0.0,,2045.0,,,46.57763,18.8532,,,,,,G100000500455,operating
144,Paks,Nuclear,Steam Turbine,PP,Hungary,0.0,,2045.0,,,46.57763,18.8532,,,,,,G100000500456,operating
145,Paks,Nuclear,Steam Turbine,PP,Hungary,1265.0,,2032.0,,,46.57763,18.8532,,,,,,G100000500624,pre-construction
146,Paks,Nuclear,Steam Turbine,PP,Hungary,0.0,,2045.0,,,46.57763,18.8532,,,,,,G100000500457,operating
147,Paks,Nuclear,Steam Turbine,PP,Hungary,0.0,,2045.0,,,46.57763,18.8532,,,,,,G100000500454,operating
148,Paks,Nuclear,Steam Turbine,PP,Hungary,1265.0,,2032.0,,,46.57763,18.8532,,,,,,G100000500623,pre-construction
149,Paluel,Nuclear,Steam Turbine,PP,France,0.0,,2045.0,,,49.8582,0.6354,,,,,,G100000500053,operating
150,Paluel,Nuclear,Steam Turbine,PP,France,0.0,,2045.0,,,49.8582,0.6354,,,,,,G100000500055,operating
151,Paluel,Nuclear,Steam Turbine,PP,France,0.0,,2045.0,,,49.8582,0.6354,,,,,,G100000500054,operating
152,Paluel,Nuclear,Steam Turbine,PP,France,0.0,,2045.0,,,49.8582,0.6354,,,,,,G100000500052,operating
153,Patnow,Nuclear,Steam Turbine,PP,Poland,0.0,,2045.0,,,51.1465,18.6072,,,,,,G100000501245,announced
154,Patnow,Nuclear,Steam Turbine,PP,Poland,0.0,,2045.0,,,51.1465,18.6072,,,,,,G100001009038,announced
155,Penly,Nuclear,Steam Turbine,PP,France,0.0,,2045.0,,,49.9764,1.2107,,,,,,G100000500056,operating
156,Penly,Nuclear,Steam Turbine,PP,France,1382.0,,1992.0,,,49.9764,1.2107,,,,,,G100000500057,operating
157,Penly,Nuclear,Steam Turbine,PP,France,1650.0,,2035.0,,,49.9764,1.2107,,,,,,G100000501185,pre-construction
158,Penly,Nuclear,Steam Turbine,PP,France,1650.0,,2045.0,,,49.9764,1.2107,,,,,,G100000501186,pre-construction
159,Ringhals,Nuclear,Steam Turbine,PP,Sweden,0.0,,2045.0,,,57.2574,12.1087,,,,,,G100000500186,operating
160,Ringhals,Nuclear,Steam Turbine,PP,Sweden,0.0,,2045.0,,,57.2574,12.1087,,,,,,G100000500129,operating
165,Saint Laurent,Nuclear,Steam Turbine,PP,France,0.0,,2045.0,,,47.7197,1.5783,,,,,,G100000500284,operating
166,Saint Laurent,Nuclear,Steam Turbine,PP,France,0.0,,2045.0,,,47.7197,1.5783,,,,,,G100000500283,operating
167,Sizewell,Nuclear,Steam Turbine,PP,United Kingdom,1600.0,,2045.0,,,52.2199,1.6203,,,,,,G100000500708,pre-construction
168,Sizewell,Nuclear,Steam Turbine,PP,United Kingdom,1600.0,,2045.0,,,52.2199,1.6203,,,,,,G100001017733,pre-construction
169,Sizewell,Nuclear,Steam Turbine,PP,United Kingdom,1250.0,,1995.0,,,52.2145,1.6206,,,,,,G100000501045,operating
170,Sizewell,Nuclear,Steam Turbine,PP,United Kingdom,1600.0,,2045.0,,,52.2199,1.6203,,,,,,G100000500709,pre-construction
171,Sizewell,Nuclear,Steam Turbine,PP,United Kingdom,1600.0,,2045.0,,,52.2199,1.6203,,,,,,G100001017734,pre-construction
175,St Alban,Nuclear,Steam Turbine,PP,France,0.0,,2045.0,,,45.4043,4.7554,,,,,,G100000500059,operating
176,St Alban,Nuclear,Steam Turbine,PP,France,0.0,,2045.0,,,45.4043,4.7554,,,,,,G100000500058,operating
177,Stawy Monowskie,Nuclear,Steam Turbine,PP,Poland,0.0,,2045.0,,,50.024621,19.3339713,,,,,,G100001009058,announced
178,Stawy Monowskie,Nuclear,Steam Turbine,PP,Poland,0.0,,2045.0,,,50.024621,19.3339713,,,,,,G100001009060,announced
179,Stawy Monowskie,Nuclear,Steam Turbine,PP,Poland,0.0,,2045.0,,,50.024621,19.3339713,,,,,,G100001009061,announced
180,Stawy Monowskie,Nuclear,Steam Turbine,PP,Poland,0.0,,2045.0,,,50.024621,19.3339713,,,,,,G100001009059,announced
181,Tarnobrzeg Special Economic Zone,Nuclear,Steam Turbine,PP,Poland,0.0,,2045.0,,,50.5243466,21.6254433,,,,,,G100001009057,announced
182,Tarnobrzeg Special Economic Zone,Nuclear,Steam Turbine,PP,Poland,0.0,,2045.0,,,50.5243466,21.6254433,,,,,,G100001009056,announced
183,Tarnobrzeg Special Economic Zone,Nuclear,Steam Turbine,PP,Poland,0.0,,2045.0,,,50.5243466,21.6254433,,,,,,G100001009055,announced
184,Tarnobrzeg Special Economic Zone,Nuclear,Steam Turbine,PP,Poland,0.0,,2045.0,,,50.5243466,21.6254433,,,,,,G100001009054,announced
185,Tihange,Nuclear,Steam Turbine,PP,Belgium,0.0,,2045.0,,,50.5334,5.2714,,,,,,G100000500205,operating
