# https://www.eia.gov/international/data/world/electricity/electricity-generation?pd=2&p=000000000000000000000000000000g&u=1&f=A&v=mapbubble&a=-&i=none&vo=value&t=R&g=000000000000002&l=73-1028i008017kg6368g80a4k000e0ag00gg0004g8g0ho00g000400008&l=72-00000000000000000000000000080000000000000000000g&s=315532800000&e=1672531200000&ev=false&,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report generated on: 02-05-2025 17:16:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
API,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
INTL.33-12-DNK-BKWH.A,        Denmark,0.03,0.031,0.028,0.036,0.028,0.027,0.029,0.029,0.032,0.027,0.027,0.026,0.028,0.027,0.033,0.03,0.019,0.019,0.02673,0.031,0.03,0.028,0.032,0.021,0.027,0.023,0.023,0.028,0.026,0.019,0.021,0.017,0.017,0.013,0.015,0.018,0.0193,0.0179,0.0149,0.017,0.0171,0.0163,0.014834,0.0196861
INTL.33-12-EST-BKWH.A,        Estonia,--,--,--,--,--,--,--,--,--,--,--,--,0.001,0.001,0.003,0.002,0.002,0.003,0.004,0.004,0.005,0.007,0.006,0.013,0.022,0.022,0.014,0.021,0.028,0.032,0.027,0.03,0.042,0.026,0.027,0.027,0.035,0.026,0.015,0.019,0.03,0.023,0.023,0.0227393
INTL.33-12-FRO-BKWH.A,        Faroe Islands,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.062,0.071,0.074,0.074,0.083,0.073,0.075,0.075,0.069564,0.075066,0.076501,0.069453,0.0753,0.0752,0.0955,0.0848,0.0934,0.098,0.0999,0.1034,0.0949,0.0915,0.0668,0.092,0.099,0.091,0.121,0.132,0.105,0.11,0.107,0.102,0.11,0.11,0.131,0.131
INTL.33-12-FIN-BKWH.A,        Finland,10.115,13.518,12.958,13.445,13.115,12.211,12.266,13.658,13.229,12.9,10.75,13.065,14.956,13.341,11.669,12.796,11.742,12.11958,14.9,12.652,14.513,13.073,10.668,9.495,14.919,13.646,11.379,14.035,16.941,12.559,12.743,12.278,16.667,12.672,13.24,16.584,15.6341,14.6095,13.137,12.2455,15.6693,15.6231,13.4627875,15.2
INTL.33-12-CSK-BKWH.A,        Former Czechoslovakia,4.8,4.2,3.7,3.9,3.2,4.3,4,4.853,4.355,4.229,3.919,3.119,3.602,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
INTL.33-12-SCG-BKWH.A,        Former Serbia and Montenegro,--,--,--,--,--,--,--,--,--,--,--,--,11.23,10.395,11.016,12.071,14.266,12.636,12.763,13.243,11.88,12.326,11.633,9.752,11.01,11.912,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
INTL.33-12-YUG-BKWH.A,        Former Yugoslavia,27.868,25.044,23.295,21.623,25.645,24.363,27.474,25.98,25.612,23.256,19.601,18.929,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
INTL.33-12-FRA-BKWH.A,        France,68.253,70.358,68.6,67.515,64.01,60.248,60.953,68.623,73.952,45.744,52.796,56.277,68.313,64.3,78.057,72.196,64.43,63.151,61.479,71.832,66.466,73.888,59.992,58.567,59.276,50.965,55.741,57.029,63.017,56.428,61.945,45.184,59.099,71.042,62.993,54.876,60.094,49.389,64.485,56.9139,62.5945,59.625,44.61,55.58977674
INTL.33-12-DEU-BKWH.A,        Germany,--,--,--,--,--,--,--,--,--,--,--,14.742,17.223,17.699,19.731,21.562,21.737,17.18343,17.044,19.451,21.515,22.506,22.893,19.071,20.866,19.442,19.808,20.957,20.239,18.841,20.678,17.323,21.331,22.66,19.31,18.664,20.214,19.985,17.694,19.731,18.322,19.252,17.383,19.95763773
INTL.33-12-DDR-BKWH.A,"        Germany, East",1.658,1.718,1.748,1.683,1.748,1.758,1.767,1.726,1.719,1.551,1.389,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
INTL.33-12-DEUW-BKWH.A,"        Germany, West",17.125,17.889,17.694,16.713,16.434,15.354,16.526,18.36,18.128,16.482,15.769,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
INTL.33-12-GIB-BKWH.A,        Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.33-12-GRC-BKWH.A,        Greece,3.396,3.398,3.551,2.331,2.852,2.792,3.222,2.768,2.354,1.888,1.751,3.068,2.181,2.26,2.573,3.494,4.305,3.84318,3.68,4.546,3.656,2.076,2.772,4.718,4.625,4.967,5.806,2.565,3.279,5.32,7.431,3.998,4.387,6.337,4.464,5.782,5.543,3.962,5.035,3.9798,3.3437,5.9092,4,4.719
INTL.33-12-HUN-BKWH.A,        Hungary,0.111,0.166,0.158,0.153,0.179,0.153,0.152,0.167,0.167,0.156,0.176,0.192,0.156,0.164,0.159,0.161,0.205,0.21384,0.15345,0.179,0.176,0.184,0.192,0.169,0.203,0.2,0.184,0.208,0.211,0.226,0.184,0.216,0.206,0.208,0.294,0.2267,0.2533,0.214,0.216,0.213,0.238,0.206,0.1736896,0.2175438
INTL.33-12-ISL-BKWH.A,        Iceland,3.053,3.085,3.407,3.588,3.738,3.667,3.846,3.918,4.169,4.217,4.162,4.162,4.267,4.421,4.47,4.635,4.724,5.15493,5.565,5.987,6.292,6.512,6.907,7.017,7.063,6.949,7.22,8.31,12.303,12.156,12.51,12.382,12.214,12.747,12.554,13.541,13.0916,13.8919,13.6794,13.3291,12.9196,13.5777,13.9401712,14.104043
INTL.33-12-IRL-BKWH.A,        Ireland,0.833,0.855,0.792,0.776,0.68,0.824,0.91,0.673,0.862,0.684,0.69,0.738,0.809,0.757,0.911,0.706,0.715,0.67122,0.907,0.838,0.838,0.59,0.903,0.592,0.624,0.625,0.717,0.66,0.959,0.893,0.593,0.699,0.795,0.593,0.701,0.798,0.674,0.685,0.687,0.8781,0.9327,0.7501,0.6954,0.900004369
INTL.33-12-ITA-BKWH.A,        Italy,44.997,42.782,41.216,40.96,41.923,40.616,40.626,39.05,40.205,33.647,31.31,41.817,41.778,41.011,44.212,37.404,41.617,41.18697,40.808,44.911,43.763,46.343,39.125,33.303,41.915,35.706,36.624,32.488,41.207,48.647,50.506,45.3648,41.4562,52.2463,57.9596,45.0816,42.0077,35.837,48.2991,45.3182,47.5518,44.739,28.264,38.42539908
INTL.33-12-XKS-BKWH.A,        Kosovo,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.075,0.119,0.154,0.104,0.095,0.142,0.149,0.139,0.243,0.177,0.2703,0.2079,0.2628,0.297,0.266,0.393
INTL.33-12-LVA-BKWH.A,        Latvia,--,--,--,--,--,--,--,--,--,--,--,--,2.498,2.846,3.272,2.908,1.841,2.922,2.99,2.729,2.791,2.805,2.438,2.243,3.078,3.293,2.671,2.706,3.078,3.422,3.488,2.8568,3.677,2.838,1.953,1.841,2.5228,4.3555,2.4171,2.0959,2.584,2.6884,2.731329,3.7734564
INTL.33-12-LTU-BKWH.A,        Lithuania,--,--,--,--,--,--,--,--,--,--,--,--,0.308,0.389,0.447,0.369,0.323,0.291,0.413,0.409,0.336,0.322,0.35,0.323,0.417,0.4462,0.393,0.417,0.398,0.42,0.535,0.475,0.419,0.516,0.395,0.346,0.45,0.597,0.427,0.3425,0.3006,0.3837,0.438,0.433949054
INTL.33-12-LUX-BKWH.A,        Luxembourg,0.086,0.095,0.084,0.083,0.088,0.071,0.084,0.101,0.097,0.072,0.07,0.083,0.069,0.066,0.117,0.087,0.059,0.082,0.114,0.084,0.119,0.117,0.098,0.078,0.103,0.093,0.11,0.116,0.131,0.105,0.104,0.061,0.095,0.114,0.104,0.095,0.111,0.082,0.089,0.1059,0.0916,0.1068,0.0877,0.093934399
INTL.33-12-MLT-BKWH.A,        Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.33-12-MNE-BKWH.A,        Montenegro,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.75,1.284,1.539,2.071,2.75,1.204,1.477,2.504,1.752,1.491,1.843,1.024,2.113,1.634,1.448,2.01,1.435,2.221
INTL.33-12-NLD-BKWH.A,        Netherlands,0,0,0,0,0,0.003,0.003,0.001,0.002,0.037,0.119,0.079,0.119,0.091,0.1,0.087,0.079,0.09108,0.111,0.089,0.141,0.116,0.109,0.071,0.094,0.087,0.105,0.106,0.101,0.097,0.105,0.057,0.1044,0.1143,0.1122,0.0927,0.1001,0.0608,0.0723,0.0742,0.0461,0.0881,0.0528777,0.0680282
INTL.33-12-MKD-BKWH.A,        North Macedonia,--,--,--,--,--,--,--,--,--,--,--,--,0.817,0.517,0.696,0.793,0.842,0.891,1.072,1.375,1.158,0.62,0.749,1.36,1.467,1.477,1.634,1,0.832,1.257,2.407,1.419,1.031,1.568,1.195,1.846,1.8697,1.087,1.7745,1.1554,1.2719,1.4462,1.3402141,1.6178858
INTL.33-12-NOR-BKWH.A,        Norway,82.717,91.876,91.507,104.704,104.895,101.464,95.321,102.341,107.919,117.369,119.933,109.032,115.505,118.024,110.398,120.315,102.823,108.677,114.546,120.237,140.4,119.258,128.078,104.425,107.693,134.331,118.175,132.319,137.654,124.03,116.257,119.78,141.189,127.551,134.844,136.662,142.244,141.651,138.202,123.6629,141.69,144.368,127.62,136.1051265
INTL.33-12-POL-BKWH.A,        Poland,2.326,2.116,1.528,1.658,1.394,1.833,1.534,1.644,1.775,1.593,1.403,1.411,1.492,1.473,1.716,1.868,1.912,1.941,2.286,2.133,2.085,2.302,2.256,1.654,2.06,2.179,2.022,2.328,2.13,2.351,2.9,2.313,2.02,2.421,2.165,1.814,2.117,2.552,1.949,1.9384,2.118337,2.339192,1.968,2.407
INTL.33-12-PRT-BKWH.A,        Portugal,7.873,4.934,6.82,7.897,9.609,10.512,8.364,9.005,12.037,5.72,9.065,8.952,4.599,8.453,10.551,8.26,14.613,12.97395,12.853,7.213,11.21,13.894,7.722,15.566,9.77,4.684,10.892,9.991,6.73,8.201,15.954,11.423,5.589,13.652,15.471,8.615,15.608,5.79,12.316,8.6526,12.0826,11.8465,6.458,11.97867144
INTL.33-12-ROU-BKWH.A,        Romania,12.506,12.605,11.731,9.934,11.208,11.772,10.688,11.084,13.479,12.497,10.87,14.107,11.583,12.64,12.916,16.526,15.597,17.334,18.69,18.107,14.778,14.923,16.046,13.259,16.513,20.207,18.356,15.966,17.195,15.534,19.883,14.728,12.066,14.957,18.806,16.633,18.028,14.4942,17.6643,15.5807,15.3814,17.412,13.97797,18.8223471
INTL.33-12-SRB-BKWH.A,        Serbia,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10.35,9.463,9.564,10.541,11.891,8.667,9.286,10.203,11.003,10.08,10.792,9.153,10.639,9.457,9.035,11.284,9.137,12.9199956
INTL.33-12-SVK-BKWH.A,        Slovakia,--,--,--,--,--,--,--,--,--,--,--,--,--,3.432,4.311,4.831,4.185,4.023,4.224,4.429,4.569,4.878,5.215,3.4452,4.059,4.592,4.355,4.406,4,4.324,5.184,3.211,3.687,4.329,3.762,3.701,4.302,4.321,3.506,4.2738,4.517,4.17,3.1987,4.132350772
INTL.33-12-SVN-BKWH.A,        Slovenia,--,--,--,--,--,--,--,--,--,--,--,--,3.379,2.974,3.348,3.187,3.616,3.046,3.4,3.684,3.771,3.741,3.265,2.916,4.033,3.426,3.555,3.233,3.978,4.666,4.452,3.506,3.841,4.562,6.011,3.75,4.443,3.814,4.643,4.4342,4.9341,4.7119,3.1002,4.916099225
INTL.33-12-ESP-BKWH.A,        Spain,29.16,21.64,25.99,26.696,31.088,30.895,26.105,27.016,34.76,19.046,25.16,27.01,18.731,24.133,27.898,22.881,39.404,34.43,33.665,22.634,29.274,40.617,22.691,40.643,31.359,18.209,25.699,27.036,23.13,26.147,41.576,30.07,20.192,36.45,38.815,27.656,35.77,18.007,33.743,24.2303,30.507,29.626,17.0808,24.64798492
INTL.33-12-SWE-BKWH.A,        Sweden,58.133,59.006,54.369,62.801,67.106,70.095,60.134,70.95,69.016,70.911,71.778,62.603,73.588,73.905,58.508,67.421,51.2226,68.365,74.25,70.974,77.798,78.269,65.696,53.005,59.522,72.075,61.106,65.497,68.378,65.193,66.279,66.047,78.333,60.81,63.227,74.734,61.645,64.651,61.79,64.4658,71.6,71.086,72.8013,65.58928923
INTL.33-12-CHE-BKWH.A,        Switzerland,32.481,35.13,35.974,35.069,29.871,31.731,32.576,34.328,35.437,29.477,29.497,31.756,32.373,35.416,38.678,34.817,28.458,33.70257,33.136,37.104,33.854,38.29,32.323,31.948,30.938,28.664,28.273,32.362,33.214,32.833,33.261,29.906,35.783,35.628,35.122,35.378,31.984,31.4797,32.0959,35.157,37.867647,36.964485,29.84788,36.98341587
INTL.33-12-TUR-BKWH.A,        Turkiye,11.159,12.308,13.81,11.13,13.19,11.822,11.637,18.314,28.447,17.61,22.917,22.456,26.302,33.611,30.28,35.186,40.07,39.41784,41.80671,34.33,30.57,23.77,33.346,34.977,45.623,39.165,43.802,35.492,32.937,35.598,51.423,51.155,56.669,58.225,39.75,65.856,66.6859,57.8239,59.4902,88.2094,78.0944,55.1755,66.745,61.8794613
INTL.33-12-GBR-BKWH.A,        United Kingdom,3.921,4.369,4.543,4.548,3.992,4.08,4.767,4.13,4.915,4.732,5.119,4.534,5.329,4.237,5.043,4.79,3.359,4.127,5.117,5.336,5.085,4.055,4.7879,3.2277,4.844,4.9215,4.5931,5.0773,5.1412,5.2279,3.5914,5.6917,5.3096,4.7015,5.8878,6.2973,5.3704,5.8819,5.4433,5.8463,6.7539,5.0149,6.1401,5.237101777
,    Eurasia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTL.33-12-MDA-BKWH.A,        Moldova,--,--,--,--,--,--,--,--,--,--,--,--,0.255,0.371,0.275,0.321,0.362,0.378,0.387,0.363,0.392,0.359,0.348,0.358,0.35,0.359,0.365,0.354,0.385,0.354,0.403,0.348,0.266,0.311,0.317,0.265,0.228,0.282,0.2732,0.298,0.276,0.316,0.29,0.317
INTL.33-12-UKR-BKWH.A,        Ukraine,--,--,--,--,--,--,--,--,--,--,--,--,7.725,10.929,11.997,9.853,8.546,9.757,15.756,14.177,11.45,12.201,9.789,9.39,11.888,12.505,13.034,10.259,11.512,11.936,13.152,10.946,10.994,14.472,9.321,6.971,9.304,10.519,12.007,7.855,7.5638,10.3326,9.351,10.713
