id,name,source_id,node_id,lat,long,country_code,is_bothDirection,lat_mean,length_km,long_mean,max_pressure_bar,num_compressor,start_year,Capacity_GWh_h,diameter_mm
INET_PL_808_EE_0,No83_10,['INET_PL_808'],"['INET_N_834', 'INET_N_1244']","[50.650638, 50.58375]","[9.371877, 9.367797]","['DE', 'DE']",0.0,50.617194,7.445511171345138,9.369837,76.80652874754169,0.0,1983.0,19.39928803485337,998.4639333647048
INET_PL_990_EE_6,NordStream_16,['INET_PL_990'],"['LKD_N_937', 'INET_N_889']","[54.8, 54.151055]","[15.2, 13.655607]","['XX', 'DE']",0.0,54.4755275,123.17476968130576,14.4278035,220.0,0.0,2011.0,33.148148148148145,1153.0
INET_PL_998_EE_6,NordStream_26,['INET_PL_998'],"['INET_N_1043', 'INET_N_889']","[54.6, 54.151055]","[15.2, 13.655607]","['XX', 'DE']",0.0,54.375527500000004,111.82357058178283,14.4278035,89.11971609078725,0.0,2025.0,72.58333333333333,1367.6767736690656
INET_PL_1445,Spijk_Emden,['INET_PL_1445'],"['INET_N_1397', 'INET_N_436']","[53.39, 53.3422]","[6.831, 7.2062]","['NL', 'DE']",0.0,53.3661,25.463554408982024,7.0186,76.80652874754169,0.0,1983.0,61.73158333333333,998.4639333647048
INET_PL_1468,Belfeld_St Hubert,['INET_PL_1468'],"['INET_N_145', 'INET_N_1406']","[51.3, 51.384]","[6.132, 6.457]","['NL', 'DE']",0.0,51.342,24.43822224513431,6.294499999999999,76.80652874754169,0.0,1983.0,0.197,998.4639333647048
INET_PL_1534,Reckrod_UGS_Reckrod,['INET_PL_1534'],"['INET_N_1215', 'INET_N_1530']","[50.785275, 50.783408]","[9.788964, 9.799224]","['DE', 'DE']",1.0,50.7843415,0.750815188442757,9.794094000000001,73.25843294937569,0.0,1983.0,18.512889200388145,979.1871631301881
NO_PS_29,"40 Gas EUROPIPE-SCP, EMDEN",['NO_327394'],"['NO_N_31', 'Storages_0']","[55.706289109032674, 55.58123530291533, 55.33561167171387, 55.1226474502047, 54.908636146045474, 54.72823631130785, 54.573152840700324, 54.42001437157985, 54.255375685919226, 54.221183115294224, 54.20999687341991, 54.19913862062552, 54.18059322146527, 54.17118205601514, 54.164901984251436, 54.15570199776954, 54.14976294245024, 54.0344690323319, 54.02424385193743, 54.01079063928704, 53.95463211393392, 53.947740074548896, 53.891717570969575, 53.877314420075066, 53.858078147631346, 53.85043607169235, 53.84640004373232, 53.8326560287914, 53.811063830659975, 53.80603576514494, 53.800410648684796, 53.69078875229302, 53.69158875531927, 53.6717874868884]","[4.221169247187954, 4.4330383883199165, 4.842701988264056, 5.192212675668069, 5.538107160487414, 5.825631839286454, 6.069999444923722, 6.3087937676600685, 6.56282279163477, 6.614430248633817, 6.626342921746948, 6.636279532259189, 6.656177650719771, 6.6696173052673196, 6.682070832990617, 6.711026885892352, 6.723944414520284, 6.899224682815388, 6.913772388163972, 6.935154374324968, 7.05742534855769, 7.074732018613137, 7.198818026430375, 7.2287942621358345, 7.262350741998499, 7.278643407145421, 7.288362787549689, 7.328836275783801, 7.376436194279348, 7.385744594328862, 7.392191937901882, 7.459850098741163, 7.457690017608659, 7.401169150426581]","['NO', 'DE']",0.0,54.210365709508814,317.29303236856043,6.645105152726908,77.39135367824028,0.0,1995.0,17.6125,1016.0
2136,"40 Gas EUROPIPE-SCP, EMDEN",['NO_327394'],"['BorderPoints_0', 'NO_N_27']","[53.6717874868884, 53.67898689817584]","[7.401169150426581, 7.325116943173824]","['NO', 'DE']",0.0,54.210365709508814,317.29303236856043,6.645105152726908,77.39135367824028,0.0,1995.0,17.6125,1016.0
INET_PL_1,AlcazarDeSanJuan_Chinchilla,['INET_PL_1'],"['INET_N_23', 'INET_N_295']","[39.3900748, 38.892435]","[-3.3500984, -1.719831]","['ES', 'ES']",0.0,39.1412549,151.1390654104781,-2.5349646999999997,76.80652874754169,0.0,1983.0,26.043265432067525,1132.5537688442212
INET_PL_3,Tarancon_Madrid,['INET_PL_3'],"['INET_N_1460', 'INET_N_904']","[40.01, 40.223]","[-3.207, -3.681]","['ES', 'ES']",0.0,40.1165,46.76463181147863,-3.444,76.80652874754169,0.0,1983.0,7.924429246522989,709.5161904761904
